Section,Code,Programme,Y1 Male,Y1 Female,Y1 Total,Y2 Male,Y2 Female,Y2 Total,Y3 Male,Y3 Female,Y3 Total,All years
Bachelor's degree programmes,UDD01,Bachelor of Education in Arts,66.0,86.0,152.0,43.0,82.0,125.0,44.0,94.0,138.0,415.0
Bachelor's degree programmes,UDD02,Bachelor of Education in Science,55.0,66.0,121.0,39.0,80.0,119.0,75.0,58.0,133.0,373.0
Bachelor's degree programmes,UDD03,Bachelor of Science with Education,248.0,203.0,451.0,263.0,157.0,420.0,261.0,188.0,449.0,1320.0
Bachelor's degree programmes,UDD04,Bachelor of Arts with Education,579.0,730.0,1309.0,560.0,529.0,1089.0,518.0,631.0,1149.0,3547.0
Bachelor's degree programmes,UDD05,Bachelor of Arts in Disaster Risk Management,9.0,9.0,18.0,6.0,8.0,14.0,0.0,0.0,0.0,32.0
Bachelor's degree programmes,,Bachelor's degree programmes - subtotal,957.0,1094.0,2051.0,911.0,856.0,1767.0,898.0,971.0,1869.0,5687.0
Postgraduate diploma,UDP14,Postgraduate Diploma in Education (PGDE),5.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Postgraduate diploma,UDP14,Postgraduate Diploma in Education-Online,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Postgraduate diploma,,Postgraduate diploma - subtotal,11.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Masters programmes,UDMA 151,Master of Education in Curriculum Studies,5.0,12.0,17.0,3.0,8.0,11.0,0.0,0.0,0.0,28.0
Masters programmes,UDMA125,Master of Education in Educational Leadership and Policy Studies,9.0,12.0,21.0,3.0,2.0,5.0,0.0,0.0,0.0,26.0
Masters programmes,UDMA140,Master of Arts in Public Administration,2.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0
Masters programmes,UDMA148,Master of Arts with Education,2.0,6.0,8.0,8.0,7.0,15.0,0.0,0.0,0.0,23.0
Masters programmes,UDMA151,Master of Education in Curriculum Studies (online),1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Masters programmes,UDMA168,Master of Science in Environmental Biology,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
Masters programmes,UDMA178,Master of Science with Education,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0
Masters programmes,UDMA186,Master Of Arts In Development Evaluation,6.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Masters programmes,UDMA197,Master of Science in Industrial Chemistry,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Masters programmes,,Masters programmes - subtotal,29.0,46.0,75.0,20.0,19.0,39.0,0.0,0.0,0.0,114.0
Masters programmes,,All postgraduate (PGD + Masters),40.0,56.0,96.0,20.0,19.0,39.0,0.0,0.0,0.0,135.0
Masters programmes,,All programmes,997.0,1150.0,2147.0,931.0,875.0,1806.0,898.0,971.0,1869.0,5822.0
