Row,"Bachelors, PGD, MS",Year 1 F,Year 1 M,Year 1 Total,Year 2 F,Year 2 M,Year 2 Total,Year 3 F,Year 3 M,Year 3 Total,Row Totals Grand Total
1,UDD01 | [DUCE]Bachelor of Education in Arts,86,66,152,82,43,125,94,44,138,415
2,UDD02 | [DUCE]Bachelor of Education in Science,66,55,121,80,39,119,58,75,133,373
3,UDD03 | [DUCE]Bachelor of Science with  Education,203,248,451,157,263,420,188,261,449,1320
4,UDD04 | [DUCE]Bachelor of Arts with Education,730,579,1309,529,560,1089,631,518,1149,3547
5,UDD05 | [DUCE]Bachelor of Arts in Disaster Risk Management ,9,9,18,8,6,14,0,0,0,32
Undergrads Sub-Total,,1094,957,2051,856,911,1767,971,898,1869,5687
15,UDP14 | Postgraduate Diploma in Education (PGDE),8,5,13,0,0,0,0,0,0,13
16,UDP14 | Postgraduate Diploma in Education-Online,2,6,8,0,0,0,0,0,0,8
PGD Sub-Total,,10,11,21,0,0,0,0,0,0,21
6,UDMA 151 | Master of Education in Curriculum Studies,12,5,17,8,3,11,0,0,0,28
7,UDMA125 | Master of Education in Educational Leadership and Policy Studies[DUCE],12,9,21,2,3,5,0,0,0,26
8,UDMA140 | Master of Arts in Public Administration,1,2,3,0,3,3,0,0,0,6
9,UDMA148 | Master of Arts with Education,6,2,8,7,8,15,0,0,0,23
10,UDMA151 | Master of Education in Curriculum Studies [Online],2,1,3,0,0,0,0,0,0,3
11,UDMA168 | Master of Science in Environmental Biology,3,0,3,0,1,1,0,0,0,4
12,UDMA178 | Master of Science with Education[DUCE],0,0,0,2,2,4,0,0,0,4
13,UDMA186 | Master Of Arts In Development Evaluation,8,6,14,0,0,0,0,0,0,14
14,UDMA197 | Master of Science in Industrial Chemistry,2,4,6,0,0,0,0,0,0,6
Masters Sub-Total,,46,29,75,19,20,39,0,0,0,114
PGD + Masters Sub-Total,,56,40,96,19,20,39,0,0,0,135
Grand Total,,1150,997,2147,875,931,1806,971,898,1869,5822
