,_id,formhub/uuid,start,end,group_ow7qd27/Name_of_school,group_ow7qd27/Ownership_of_school,group_ow7qd27/Category_of_school,group_ow7qd27/Type_of_school,group_ow7qd27/Sex_of_participant,group_ow7qd27/Age_of_participant,group_ow7qd27/Level_of_study,group_ow7qd27/Subject_for_assessment,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_presents_y_and_systematically,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_usually_ives_before_teaching,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_collects_ow_we_want_to_learn,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_guides_u_g_materials_and_read,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_writes_l_and_give_us_to_copy,group_da25q48/What_are_your_percep_s_teaching_knowledge/We_are_involved_in_d_ng_local_environment,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teachers_spends_explaining_concepts,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_gives_a_with_clear_guidance,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_uses_rel_litate_understanding,group_da25q48/What_are_your_percep_s_teaching_knowledge/I_usually_see_a_link_class_with_real_life,group_da25q48/What_are_your_percep_s_teaching_knowledge/I_can_easily_approac_upport_after_classes,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_content_learnt_i_bject_is_interesting,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_mixes_En_o_help_us_understand,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_blends_w_g_and_online_classes,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_helps_us_e_learning_materials,group_da25q48/What_are_your_percep_s_teaching_knowledge/My_teacher_is_compet_o_run_online_session,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_helps_us_mputer_learning_Apps,group_da25q48/What_are_your_percep_to_assess_the_lesson/We_are_given_assignm_lesson_s_objectives,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_uses_mul_tasks_in_the_lesson,group_da25q48/What_are_your_percep_to_assess_the_lesson/Assessment_tasks_giv_real_life_situations,group_da25q48/What_are_your_percep_to_assess_the_lesson/We_are_informed_abou_nt_tasks_to_be_given,group_da25q48/What_are_your_percep_to_assess_the_lesson/Instructions_for_ass_asks_are_clear_to_me,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_provides_fter_exams_and_tests,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_gives_ti_to_improve_learning,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_directs_s_to_boys_than_girls,group_da25q48/What_is_your_teacher_on_and_gender_equity/Girls_are_the_most_f_ass_compared_to_boys,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_sometime_age_against_students,group_da25q48/What_is_your_teacher_on_and_gender_equity/I_would_perform_bett_chances_to_practice,group_da25q48/What_is_your_teacher_on_and_gender_equity/Students_with_specia_en_special_attention,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_offers_i_ts_with_disabilities,group_da25q48/What_is_your_teacher_on_and_gender_equity/Low_and_high_achieve_ged_to_work_together,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_takes_ca_al_social_well_being,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_has_a_ca_attitude_to_students,group_da25q48/What_is_your_teacher_on_and_gender_equity/Teacher_exposes_us_t_oster_our_creativity,group_da25q48/What_is_your_teacher_on_and_gender_equity/Teacher_s_instructio_tween_girls_and_boys,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_lesson_helps_me_country_and_value_it,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_enabled_working_with_others,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_provided_d_my_thinking_skills,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_equipped_day_to_day_problems,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_enabled_for_my_future_career,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_encourag_e_and_try_new_things,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_helped_m_technological_tools,group_wf3zl05/Any_other_comments_on_this,group_qn2ae21/What_factors_have_af_ning_in_this_subject/We_learn_too_many_st_short_period_of_time,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_are_a_lot_of_t_e_me_not_concentrate,group_qn2ae21/What_factors_have_af_ning_in_this_subject/Our_teacher_is_neith_ive_nor_approachable,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teaching_style_m_ficult_to_understand,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teacher_don_t_co_earning_difficulties,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_is_shortage_of_reading_materials,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_is_no_access_t_d_related_facilities,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_are_no_enough_the_lessons_we_learn,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teacher_has_nega_s_students_learning,group_qn2ae21/List_any_other_facto_affect_your_learning,group_qn2ae21/In_your_opinion_wha_learning_competences,__version__,meta/instanceID,_xform_id_string,_uuid,_attachments,_status,_geolocation,_submission_time,_tags,_notes,_validation_status,_submitted_by,group_qn2ae21/What_factors_have_af_ning_in_this_subject/What_factors_have_af_ning_in_this_subject_header,group_da25q48/What_are_your_percep_to_assess_the_lesson/What_are_your_percep_to_assess_the_lesson_header
0,224150070,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T18:49:22.219+03:00,2021-10-18T18:59:51.001+03:00,Viwandani Secondary School,public,day_school,girls_and_boys,male,16_20,form_three,physics,disagree,agree,agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,strongly_agree,agree,agree,agree,agree,strongly_disagree,agree,strongly_disagree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,agree,agree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option,None,no,yes,no,no,yes,yes,yes,yes,yes,None,Teacher to support students and learning through group discussions,v5qpaMybKZaNr7HvESn8Rj,uuid:3793cf0c-dd1e-48b5-b716-938a55f8b764,agogUcQmdhjWi8cjGrBBwU,3793cf0c-dd1e-48b5-b716-938a55f8b764,[],submitted_via_web,"[None, None]",2021-10-18 16:00:02,[],[],{},,,
1,224153964,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T18:59:51.606+03:00,2021-10-18T19:17:25.963+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,male,16_20,form_three,english,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,None,yes,yes,no,no,no,yes,yes,no,no,None,Teacher to give us even online lessons so that we can even study at our homes,v5qpaMybKZaNr7HvESn8Rj,uuid:47bde66d-85e2-4f6a-936e-a7ae9f8f7ffe,agogUcQmdhjWi8cjGrBBwU,47bde66d-85e2-4f6a-936e-a7ae9f8f7ffe,[],submitted_via_web,"[None, None]",2021-10-18 16:17:39,[],[],{},,,
2,224155248,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:17:26.427+03:00,2021-10-18T19:23:04.472+03:00,Viwandani Secondary School,public,day_school,girls_and_boys,female,16_20,form_three,english,agree,strongly_agree,agree,disagree,disagree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,agree,disagree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,None,no,no,no,no,yes,no,yes,no,no,None,The teacher should be provide the learning task that cultivate the skills,v5qpaMybKZaNr7HvESn8Rj,uuid:24eea1a3-017a-4966-bcf0-9c918a74c99c,agogUcQmdhjWi8cjGrBBwU,24eea1a3-017a-4966-bcf0-9c918a74c99c,[],submitted_via_web,"[None, None]",2021-10-18 16:23:16,[],[],{},,,
3,224156117,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:23:04.791+03:00,2021-10-18T19:29:08.886+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,female,16_20,form_three,english,agree,agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,strongly_agree,agree,strongly_agree,agree,agree,None,no,no,no,no,no,yes,yes,no,no,None,Teacher to be considered in developing of his/her subject matter knowledge,v5qpaMybKZaNr7HvESn8Rj,uuid:144ced72-ef02-448b-a159-81418aece1fa,agogUcQmdhjWi8cjGrBBwU,144ced72-ef02-448b-a159-81418aece1fa,[],submitted_via_web,"[None, None]",2021-10-18 16:29:21,[],[],{},,,
4,224156863,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:29:09.118+03:00,2021-10-18T19:33:26.724+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,male,16_20,form_three,physics,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,None,no,no,no,no,no,yes,yes,yes,no,None,Teacher to improve teaching style,v5qpaMybKZaNr7HvESn8Rj,uuid:898e279f-a3d7-42b8-ba88-b227e9246793,agogUcQmdhjWi8cjGrBBwU,898e279f-a3d7-42b8-ba88-b227e9246793,[],submitted_via_web,"[None, None]",2021-10-18 16:33:39,[],[],{},,,
5,224157690,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:33:27.050+03:00,2021-10-18T19:37:49.156+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,male,16_20,form_three,physics,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,option,strongly_agree,strongly_agree,strongly_agree,option,option,None,no,yes,no,yes,yes,yes,yes,no,yes,None,Teacher to change the teaching style,v5qpaMybKZaNr7HvESn8Rj,uuid:7f2453f9-4815-4776-82c8-4b8d5fd453a9,agogUcQmdhjWi8cjGrBBwU,7f2453f9-4815-4776-82c8-4b8d5fd453a9,[],submitted_via_web,"[None, None]",2021-10-18 16:38:02,[],[],{},,,
6,224158453,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:37:49.455+03:00,2021-10-18T19:43:12.851+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,female,16_20,form_three,geography,agree,agree,disagree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,disagree,agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,agree,None,yes,no,no,no,yes,yes,yes,yes,no,Long distance from home to school,To be provided with more practices including test any lesson activities,v5qpaMybKZaNr7HvESn8Rj,uuid:cd446333-ba54-4633-9478-95dabe5dc5e4,agogUcQmdhjWi8cjGrBBwU,cd446333-ba54-4633-9478-95dabe5dc5e4,[],submitted_via_web,"[None, None]",2021-10-18 16:43:25,[],[],{},,,
7,224159225,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-18T19:43:13.263+03:00,2021-10-18T19:47:17.739+03:00,Viwandani Secondary school,public,day_school,girls_and_boys,female,16_20,form_three,physics,agree,agree,disagree,strongly_agree,strongly_agree,agree,disagree,agree,agree,agree,agree,agree,strongly_agree,agree,disagree,disagree,strongly_disagree,agree,agree,agree,disagree,disagree,strongly_agree,agree,strongly_disagree,disagree,strongly_agree,strongly_agree,disagree,disagree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,strongly_agree,agree,agree,None,no,no,yes,yes,yes,yes,yes,yes,yes,None,Teacher must give us enough support,v5qpaMybKZaNr7HvESn8Rj,uuid:81310574-f171-48e2-be9f-e0fa64ba888a,agogUcQmdhjWi8cjGrBBwU,81310574-f171-48e2-be9f-e0fa64ba888a,[],submitted_via_web,"[None, None]",2021-10-18 16:47:30,[],[],{},,,
8,225147959,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-21T20:10:31.081+03:00,2021-10-21T20:14:49.079+03:00,DYCC YEMEN SECONDARY SCHOOL,private,day_school,girls_and_boys,male,16_20,form_four,english,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,agree,agree,agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_agree,agree,agree,agree,I think all have been listed,no,yes,no,no,no,no,yes,yes,no,None,He should provide more tests and exercises,v5qpaMybKZaNr7HvESn8Rj,uuid:62e59886-e0f9-4b00-9695-2e56660b4f75,agogUcQmdhjWi8cjGrBBwU,62e59886-e0f9-4b00-9695-2e56660b4f75,[],submitted_via_web,"[None, None]",2021-10-21 17:15:02,[],[],{},,,
9,225149373,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-21T20:14:49.374+03:00,2021-10-21T20:19:44.048+03:00,DYCC YEMEN SECONDARY SCHOOL,private,day_school,girls_and_boys,female,16_20,form_three,physics,agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,disagree,disagree,strongly_disagree,disagree,agree,agree,strongly_agree,agree,agree,strongly_agree,agree,strongly_disagree,disagree,strongly_disagree,strongly_agree,disagree,agree,strongly_agree,agree,agree,strongly_agree,strongly_disagree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,We are not given enough notes on which we can rely on,yes,no,no,no,no,yes,yes,yes,no,We are given many notes that hinder our concentration on our studies,Need more detailed notes,v5qpaMybKZaNr7HvESn8Rj,uuid:d2f2b5a3-18f9-47b1-a218-ee6355e2f28f,agogUcQmdhjWi8cjGrBBwU,d2f2b5a3-18f9-47b1-a218-ee6355e2f28f,[],submitted_via_web,"[None, None]",2021-10-21 17:19:57,[],[],{},,,
